invoice_id;branch;city;customer_type;gender;product_line;unit_price;quantity;tax_5_pct;total;date;purchase_hour;payment;cogs;gross_income;rating;customer_profile;customer_id;total_price;recency;frequency;monetary;r_score;f_score;m_score;rfm_score;rfm_score_label;rfm_combination;r_score_label;f_score_label;m_score_label;rfm_label
765-26-6951;A;Yangon;Normal;Male;Sports And Travel;72.61;6;21.783;457.443;2019-01-01;10;Credit Card;435.66;21.783;6.9;Yangon_Normal_Male;3;435.65999999999997;3;92;24701.71;2;4;1;7;Silver;241;Less Recent;High Repurchaser;Low Spender;Less Recent, High Repurchaser, Low Spender
329-62-1586;A;Yangon;Normal;Male;Food And Beverages;54.67;3;8.2005;172.2105;2019-01-21;18;Credit Card;164.01;8.2005;8.6;Yangon_Normal_Male;3;164.01;3;92;24701.71;2;4;1;7;Silver;241;Less Recent;High Repurchaser;Low Spender;Less Recent, High Repurchaser, Low Spender
319-50-3348;B;Mandalay;Normal;Female;Home And Lifestyle;40.3;2;4.03;84.63;2019-03-11;15;E-Wallet;80.6;4.03;4.4;Mandalay_Normal_Female;9;80.6;3;77;24836.06;2;4;1;7;Silver;241;Less Recent;High Repurchaser;Low Spender;Less Recent, High Repurchaser, Low Spender
300-71-4605;C;Naypyitaw;Member;Male;Electronic Accessories;86.04;5;21.51;451.71;2019-02-25;11;E-Wallet;430.2;21.51;4.8;Naypyitaw_Member_Male;10;430.20000000000005;1;73;21169.37;1;4;1;6;Bronze;141;Most Recent;High Repurchaser;Low Spender;Most Recent, High Repurchaser, Low Spender
371-85-5789;B;Mandalay;Normal;Male;Health And Beauty;87.98;3;13.197;277.137;2019-03-05;10;E-Wallet;263.94;13.197;5.1;Mandalay_Normal_Male;11;263.94;2;90;25157.26;2;4;2;8;Gold;242;Less Recent;High Repurchaser;Medium Spender;Less Recent, High Repurchaser, Medium Spender
273-16-6619;B;Mandalay;Normal;Male;Home And Lifestyle;33.2;2;3.32;69.72;2019-03-15;12;Credit Card;66.4;3.32;4.4;Mandalay_Normal_Male;11;66.4;2;90;25157.26;2;4;2;8;Gold;242;Less Recent;High Repurchaser;Medium Spender;Less Recent, High Repurchaser, Medium Spender
636-48-8204;A;Yangon;Normal;Male;Electronic Accessories;34.56;5;8.64;181.44;2019-02-17;11;E-Wallet;172.8;8.64;9.9;Yangon_Normal_Male;3;172.8;3;92;24701.71;2;4;1;7;Silver;241;Less Recent;High Repurchaser;Low Spender;Less Recent, High Repurchaser, Low Spender
549-59-1358;A;Yangon;Member;Male;Sports And Travel;88.63;3;13.2945;279.1845;2019-03-02;17;E-Wallet;265.89;13.2945;6.0;Yangon_Member_Male;4;265.89;3;87;25708.96;2;4;4;10;Platinum;244;Less Recent;High Repurchaser;Top Spender;Less Recent, High Repurchaser, Top Spender
227-03-5010;A;Yangon;Member;Female;Home And Lifestyle;52.59;8;21.036;441.756;2019-03-22;19;Credit Card;420.72;21.036;8.5;Yangon_Member_Female;1;420.72;1;80;25374.35;1;4;2;7;Silver;142;Most Recent;High Repurchaser;Medium Spender;Most Recent, High Repurchaser, Medium Spender
649-29-6775;B;Mandalay;Normal;Male;Fashion Accessories;33.52;1;1.676;35.196;2019-02-08;15;Cash;33.52;1.676;6.7;Mandalay_Normal_Male;11;33.52;2;90;25157.26;2;4;2;8;Gold;242;Less Recent;High Repurchaser;Medium Spender;Less Recent, High Repurchaser, Medium Spender
189-17-4241;A;Yangon;Normal;Female;Fashion Accessories;87.67;2;8.767;184.107;2019-03-10;12;Credit Card;175.34;8.767;7.7;Yangon_Normal_Female;8;175.34;1;81;25358.19;1;4;2;7;Silver;142;Most Recent;High Repurchaser;Medium Spender;Most Recent, High Repurchaser, Medium Spender
145-94-9061;B;Mandalay;Normal;Female;Food And Beverages;88.36;5;22.09;463.89;2019-01-25;19;Cash;441.8;22.09;9.6;Mandalay_Normal_Female;9;441.8;3;77;24836.06;2;4;1;7;Silver;241;Less Recent;High Repurchaser;Low Spender;Less Recent, High Repurchaser, Low Spender
848-62-7243;A;Yangon;Normal;Male;Health And Beauty;24.89;9;11.2005;235.2105;2019-03-15;15;Cash;224.01;11.2005;7.4;Yangon_Normal_Male;3;224.01;3;92;24701.71;2;4;1;7;Silver;241;Less Recent;High Repurchaser;Low Spender;Less Recent, High Repurchaser, Low Spender
871-79-8483;B;Mandalay;Normal;Male;Fashion Accessories;94.13;5;23.5325;494.1825;2019-02-25;19;Credit Card;470.65;23.5325;4.8;Mandalay_Normal_Male;11;470.65;2;90;25157.26;2;4;2;8;Gold;242;Less Recent;High Repurchaser;Medium Spender;Less Recent, High Repurchaser, Medium Spender
149-71-6266;B;Mandalay;Member;Male;Sports And Travel;78.07;9;35.1315;737.7615;2019-01-28;12;Cash;702.63;35.1315;4.5;Mandalay_Member_Male;7;702.6299999999999;1;80;25575.48;1;4;3;8;Gold;143;Most Recent;High Repurchaser;High Spender;Most Recent, High Repurchaser, High Spender
640-49-2076;B;Mandalay;Normal;Male;Sports And Travel;83.78;8;33.512;703.752;2019-01-10;14;Cash;670.24;33.512;5.1;Mandalay_Normal_Male;11;670.24;2;90;25157.26;2;4;2;8;Gold;242;Less Recent;High Repurchaser;Medium Spender;Less Recent, High Repurchaser, Medium Spender
595-11-5460;A;Yangon;Normal;Male;Health And Beauty;96.58;2;9.658;202.818;2019-03-15;10;Credit Card;193.16;9.658;5.1;Yangon_Normal_Male;3;193.16;3;92;24701.71;2;4;1;7;Silver;241;Less Recent;High Repurchaser;Low Spender;Less Recent, High Repurchaser, Low Spender
183-56-6882;C;Naypyitaw;Member;Female;Food And Beverages;99.42;4;19.884;417.564;2019-02-06;10;E-Wallet;397.68;19.884;7.5;Naypyitaw_Member_Female;12;397.68;1;96;33003.28;1;4;4;9;Platinum;144;Most Recent;High Repurchaser;Top Spender;Most Recent, High Repurchaser, Top Spender
232-16-2483;C;Naypyitaw;Member;Female;Sports And Travel;68.12;1;3.406;71.526;2019-01-07;12;E-Wallet;68.12;3.406;6.8;Naypyitaw_Member_Female;12;68.12;1;96;33003.28;1;4;4;9;Platinum;144;Most Recent;High Repurchaser;Top Spender;Most Recent, High Repurchaser, Top Spender
129-29-8530;A;Yangon;Member;Male;Sports And Travel;62.62;5;15.655;328.755;2019-03-10;19;E-Wallet;313.1;15.655;7.0;Yangon_Member_Male;4;313.09999999999997;3;87;25708.96;2;4;4;10;Platinum;244;Less Recent;High Repurchaser;Top Spender;Less Recent, High Repurchaser, Top Spender
272-65-1806;A;Yangon;Normal;Female;Electronic Accessories;60.88;9;27.396;575.316;2019-01-15;17;E-Wallet;547.92;27.396;4.7;Yangon_Normal_Female;8;547.9200000000001;1;81;25358.19;1;4;2;7;Silver;142;Most Recent;High Repurchaser;Medium Spender;Most Recent, High Repurchaser, Medium Spender
333-73-7901;C;Naypyitaw;Normal;Female;Health And Beauty;54.92;8;21.968;461.328;2019-03-23;13;E-Wallet;439.36;21.968;7.6;Naypyitaw_Normal_Female;2;439.36;3;82;25744.78;2;4;4;10;Platinum;244;Less Recent;High Repurchaser;Top Spender;Less Recent, High Repurchaser, Top Spender
777-82-7220;B;Mandalay;Member;Male;Home And Lifestyle;30.12;8;12.048;253.008;2019-03-03;13;Cash;240.96;12.048;7.7;Mandalay_Member_Male;7;240.96;1;80;25575.48;1;4;3;8;Gold;143;Most Recent;High Repurchaser;High Spender;Most Recent, High Repurchaser, High Spender
280-35-5823;B;Mandalay;Member;Female;Home And Lifestyle;86.72;1;4.336;91.056;2019-01-17;18;E-Wallet;86.72;4.336;7.9;Mandalay_Member_Female;6;86.72;4;85;25571.84;3;4;3;10;Platinum;343;Very Long / Longest Time;High Repurchaser;High Spender;Very Long / Longest Time, High Repurchaser, High Spender
554-53-8700;C;Naypyitaw;Member;Male;Home And Lifestyle;56.11;2;5.611;117.831;2019-02-02;10;Cash;112.22;5.611;6.3;Naypyitaw_Member_Male;10;112.22;1;73;21169.37;1;4;1;6;Bronze;141;Most Recent;High Repurchaser;Low Spender;Most Recent, High Repurchaser, Low Spender
354-25-5821;B;Mandalay;Member;Female;Sports And Travel;69.12;6;20.736;435.456;2019-02-08;13;Cash;414.72;20.736;5.6;Mandalay_Member_Female;6;414.72;4;85;25571.84;3;4;3;10;Platinum;343;Very Long / Longest Time;High Repurchaser;High Spender;Very Long / Longest Time, High Repurchaser, High Spender
228-96-1411;C;Naypyitaw;Member;Female;Food And Beverages;98.7;8;39.48;829.08;2019-03-04;20;Cash;789.6;39.48;7.6;Naypyitaw_Member_Female;12;789.6;1;96;33003.28;1;4;4;9;Platinum;144;Most Recent;High Repurchaser;Top Spender;Most Recent, High Repurchaser, Top Spender
617-15-4209;C;Naypyitaw;Member;Male;Health And Beauty;15.37;2;1.537;32.277;2019-03-16;19;Cash;30.74;1.537;7.2;Naypyitaw_Member_Male;10;30.74;1;73;21169.37;1;4;1;6;Bronze;141;Most Recent;High Repurchaser;Low Spender;Most Recent, High Repurchaser, Low Spender
132-32-9879;B;Mandalay;Member;Female;Electronic Accessories;93.96;4;18.792;394.632;2019-03-09;18;Cash;375.84;18.792;9.5;Mandalay_Member_Female;6;375.84;4;85;25571.84;3;4;3;10;Platinum;343;Very Long / Longest Time;High Repurchaser;High Spender;Very Long / Longest Time, High Repurchaser, High Spender
370-41-7321;B;Mandalay;Member;Male;Health And Beauty;56.69;9;25.5105;535.7205;2019-02-27;17;Credit Card;510.21;25.5105;8.4;Mandalay_Member_Male;7;510.21;1;80;25575.48;1;4;3;8;Gold;143;Most Recent;High Repurchaser;High Spender;Most Recent, High Repurchaser, High Spender
727-46-3608;B;Mandalay;Member;Female;Food And Beverages;20.01;9;9.0045;189.0945;2019-02-06;15;E-Wallet;180.09;9.0045;4.1;Mandalay_Member_Female;6;180.09;4;85;25571.84;3;4;3;10;Platinum;343;Very Long / Longest Time;High Repurchaser;High Spender;Very Long / Longest Time, High Repurchaser, High Spender
669-54-1719;B;Mandalay;Member;Male;Electronic Accessories;18.93;6;5.679;119.259;2019-02-10;12;Credit Card;113.58;5.679;8.1;Mandalay_Member_Male;7;113.58;1;80;25575.48;1;4;3;8;Gold;143;Most Recent;High Repurchaser;High Spender;Most Recent, High Repurchaser, High Spender
574-22-5561;C;Naypyitaw;Member;Female;Fashion Accessories;82.63;10;41.315;867.615;2019-03-19;17;E-Wallet;826.3;41.315;7.9;Naypyitaw_Member_Female;12;826.3;1;96;33003.28;1;4;4;9;Platinum;144;Most Recent;High Repurchaser;Top Spender;Most Recent, High Repurchaser, Top Spender
326-78-5178;C;Naypyitaw;Member;Male;Food And Beverages;91.4;7;31.99;671.79;2019-02-03;10;Cash;639.8;31.99;9.5;Naypyitaw_Member_Male;10;639.8000000000001;1;73;21169.37;1;4;1;6;Bronze;141;Most Recent;High Repurchaser;Low Spender;Most Recent, High Repurchaser, Low Spender
162-48-8011;A;Yangon;Member;Female;Food And Beverages;44.59;5;11.1475;234.0975;2019-02-10;15;Cash;222.95;11.1475;8.5;Yangon_Member_Female;1;222.95000000000002;1;80;25374.35;1;4;2;7;Silver;142;Most Recent;High Repurchaser;Medium Spender;Most Recent, High Repurchaser, Medium Spender
616-24-2851;B;Mandalay;Member;Female;Fashion Accessories;17.87;4;3.574;75.054;2019-03-22;14;E-Wallet;71.48;3.574;6.5;Mandalay_Member_Female;6;71.48;4;85;25571.84;3;4;3;10;Platinum;343;Very Long / Longest Time;High Repurchaser;High Spender;Very Long / Longest Time, High Repurchaser, High Spender
778-71-5554;C;Naypyitaw;Member;Male;Fashion Accessories;15.43;1;0.7715;16.2015;2019-01-25;15;Credit Card;15.43;0.7715;6.1;Naypyitaw_Member_Male;10;15.43;1;73;21169.37;1;4;1;6;Bronze;141;Most Recent;High Repurchaser;Low Spender;Most Recent, High Repurchaser, Low Spender
242-55-6721;B;Mandalay;Normal;Male;Home And Lifestyle;16.16;2;1.616;33.936;2019-03-07;11;E-Wallet;32.32;1.616;6.5;Mandalay_Normal_Male;11;32.32;2;90;25157.26;2;4;2;8;Gold;242;Less Recent;High Repurchaser;Medium Spender;Less Recent, High Repurchaser, Medium Spender
399-46-5918;C;Naypyitaw;Normal;Female;Electronic Accessories;85.98;8;34.392;722.232;2019-02-28;19;Cash;687.84;34.392;8.2;Naypyitaw_Normal_Female;2;687.84;3;82;25744.78;2;4;4;10;Platinum;244;Less Recent;High Repurchaser;Top Spender;Less Recent, High Repurchaser, Top Spender
106-35-6779;A;Yangon;Member;Male;Home And Lifestyle;44.34;2;4.434;93.114;2019-03-27;11;Cash;88.68;4.434;5.8;Yangon_Member_Male;4;88.68;3;87;25708.96;2;4;4;10;Platinum;244;Less Recent;High Repurchaser;Top Spender;Less Recent, High Repurchaser, Top Spender
635-40-6220;A;Yangon;Normal;Male;Health And Beauty;89.6;8;35.84;752.64;2019-02-07;11;E-Wallet;716.8;35.84;6.6;Yangon_Normal_Male;3;716.8;3;92;24701.71;2;4;1;7;Silver;241;Less Recent;High Repurchaser;Low Spender;Less Recent, High Repurchaser, Low Spender
817-48-8732;A;Yangon;Member;Female;Home And Lifestyle;72.35;10;36.175;759.675;2019-01-20;15;Cash;723.5;36.175;5.4;Yangon_Member_Female;1;723.5;1;80;25374.35;1;4;2;7;Silver;142;Most Recent;High Repurchaser;Medium Spender;Most Recent, High Repurchaser, Medium Spender
120-06-4233;C;Naypyitaw;Normal;Male;Electronic Accessories;30.61;6;9.183;192.843;2019-03-12;20;Cash;183.66;9.183;9.3;Naypyitaw_Normal_Male;5;183.66;1;77;25386.1;1;4;3;8;Gold;143;Most Recent;High Repurchaser;High Spender;Most Recent, High Repurchaser, High Spender
285-68-5083;C;Naypyitaw;Member;Female;Sports And Travel;24.74;3;3.711;77.931;2019-02-15;17;Credit Card;74.22;3.711;10.0;Naypyitaw_Member_Female;12;74.22;1;96;33003.28;1;4;4;9;Platinum;144;Most Recent;High Repurchaser;Top Spender;Most Recent, High Repurchaser, Top Spender
803-83-5989;C;Naypyitaw;Normal;Male;Home And Lifestyle;55.73;6;16.719;351.099;2019-02-24;10;E-Wallet;334.38;16.719;7.0;Naypyitaw_Normal_Male;5;334.38;1;77;25386.1;1;4;3;8;Gold;143;Most Recent;High Repurchaser;High Spender;Most Recent, High Repurchaser, High Spender
347-34-2234;B;Mandalay;Member;Female;Sports And Travel;55.07;9;24.7815;520.4115;2019-02-03;13;E-Wallet;495.63;24.7815;10.0;Mandalay_Member_Female;6;495.63;4;85;25571.84;3;4;3;10;Platinum;343;Very Long / Longest Time;High Repurchaser;High Spender;Very Long / Longest Time, High Repurchaser, High Spender
199-75-8169;A;Yangon;Member;Male;Sports And Travel;15.81;10;7.905;166.005;2019-03-06;12;Credit Card;158.1;7.905;8.6;Yangon_Member_Male;4;158.1;3;87;25708.96;2;4;4;10;Platinum;244;Less Recent;High Repurchaser;Top Spender;Less Recent, High Repurchaser, Top Spender
853-23-2453;B;Mandalay;Member;Male;Health And Beauty;75.74;4;15.148;318.108;2019-02-14;14;Cash;302.96;15.148;7.6;Mandalay_Member_Male;7;302.96;1;80;25575.48;1;4;3;8;Gold;143;Most Recent;High Repurchaser;High Spender;Most Recent, High Repurchaser, High Spender
877-22-3308;A;Yangon;Member;Male;Health And Beauty;15.87;10;7.935;166.635;2019-03-13;16;Cash;158.7;7.935;5.8;Yangon_Member_Male;4;158.7;3;87;25708.96;2;4;4;10;Platinum;244;Less Recent;High Repurchaser;Top Spender;Less Recent, High Repurchaser, Top Spender
838-78-4295;C;Naypyitaw;Normal;Female;Health And Beauty;33.47;2;3.347;70.287;2019-02-10;15;E-Wallet;66.94;3.347;6.7;Naypyitaw_Normal_Female;2;66.94;3;82;25744.78;2;4;4;10;Platinum;244;Less Recent;High Repurchaser;Top Spender;Less Recent, High Repurchaser, Top Spender
109-28-2512;B;Mandalay;Member;Female;Fashion Accessories;97.61;6;29.283;614.943;2019-01-07;15;E-Wallet;585.66;29.283;9.9;Mandalay_Member_Female;6;585.66;4;85;25571.84;3;4;3;10;Platinum;343;Very Long / Longest Time;High Repurchaser;High Spender;Very Long / Longest Time, High Repurchaser, High Spender
232-11-3025;A;Yangon;Normal;Male;Sports And Travel;78.77;10;39.385;827.085;2019-01-24;10;Cash;787.7;39.385;6.4;Yangon_Normal_Male;3;787.6999999999999;3;92;24701.71;2;4;1;7;Silver;241;Less Recent;High Repurchaser;Low Spender;Less Recent, High Repurchaser, Low Spender
382-03-4532;A;Yangon;Member;Female;Health And Beauty;18.33;1;0.9165;19.2465;2019-02-02;18;Cash;18.33;0.9165;4.3;Yangon_Member_Female;1;18.33;1;80;25374.35;1;4;2;7;Silver;142;Most Recent;High Repurchaser;Medium Spender;Most Recent, High Repurchaser, Medium Spender
393-65-2792;C;Naypyitaw;Normal;Male;Food And Beverages;89.48;10;44.74;939.54;2019-01-06;12;Credit Card;894.8;44.74;9.6;Naypyitaw_Normal_Male;5;894.8000000000001;1;77;25386.1;1;4;3;8;Gold;143;Most Recent;High Repurchaser;High Spender;Most Recent, High Repurchaser, High Spender
796-12-2025;C;Naypyitaw;Normal;Male;Fashion Accessories;62.12;10;31.06;652.26;2019-02-11;16;Cash;621.2;31.06;5.9;Naypyitaw_Normal_Male;5;621.1999999999999;1;77;25386.1;1;4;3;8;Gold;143;Most Recent;High Repurchaser;High Spender;Most Recent, High Repurchaser, High Spender
510-95-6347;B;Mandalay;Member;Female;Food And Beverages;48.52;3;7.278;152.838;2019-03-05;18;E-Wallet;145.56;7.278;4.0;Mandalay_Member_Female;6;145.56;4;85;25571.84;3;4;3;10;Platinum;343;Very Long / Longest Time;High Repurchaser;High Spender;Very Long / Longest Time, High Repurchaser, High Spender
841-35-6630;C;Naypyitaw;Normal;Female;Electronic Accessories;75.91;6;22.773;478.233;2019-03-09;18;Cash;455.46;22.773;8.7;Naypyitaw_Normal_Female;2;455.46;3;82;25744.78;2;4;4;10;Platinum;244;Less Recent;High Repurchaser;Top Spender;Less Recent, High Repurchaser, Top Spender
287-21-9091;A;Yangon;Normal;Male;Home And Lifestyle;74.67;9;33.6015;705.6315;2019-01-22;10;E-Wallet;672.03;33.6015;9.4;Yangon_Normal_Male;3;672.03;3;92;24701.71;2;4;1;7;Silver;241;Less Recent;High Repurchaser;Low Spender;Less Recent, High Repurchaser, Low Spender
732-94-0499;C;Naypyitaw;Normal;Female;Electronic Accessories;41.65;10;20.825;437.325;2019-01-13;17;Credit Card;416.5;20.825;5.4;Naypyitaw_Normal_Female;2;416.5;3;82;25744.78;2;4;4;10;Platinum;244;Less Recent;High Repurchaser;Top Spender;Less Recent, High Repurchaser, Top Spender
263-10-3913;C;Naypyitaw;Member;Male;Fashion Accessories;49.04;9;22.068;463.428;2019-01-09;14;Credit Card;441.36;22.068;8.6;Naypyitaw_Member_Male;10;441.36;1;73;21169.37;1;4;1;6;Bronze;141;Most Recent;High Repurchaser;Low Spender;Most Recent, High Repurchaser, Low Spender
381-20-0914;A;Yangon;Member;Female;Fashion Accessories;20.01;9;9.0045;189.0945;2019-01-12;15;Credit Card;180.09;9.0045;5.7;Yangon_Member_Female;1;180.09;1;80;25374.35;1;4;2;7;Silver;142;Most Recent;High Repurchaser;Medium Spender;Most Recent, High Repurchaser, Medium Spender
829-49-1914;C;Naypyitaw;Member;Female;Food And Beverages;78.31;10;39.155;822.255;2019-03-05;16;E-Wallet;783.1;39.155;6.6;Naypyitaw_Member_Female;12;783.1;1;96;33003.28;1;4;4;9;Platinum;144;Most Recent;High Repurchaser;Top Spender;Most Recent, High Repurchaser, Top Spender
756-01-7507;C;Naypyitaw;Normal;Female;Health And Beauty;20.38;5;5.095;106.995;2019-01-22;18;Cash;101.9;5.095;6.0;Naypyitaw_Normal_Female;2;101.89999999999999;3;82;25744.78;2;4;4;10;Platinum;244;Less Recent;High Repurchaser;Top Spender;Less Recent, High Repurchaser, Top Spender
870-72-4431;C;Naypyitaw;Normal;Female;Health And Beauty;99.19;6;29.757;624.897;2019-01-21;14;Credit Card;595.14;29.757;5.5;Naypyitaw_Normal_Female;2;595.14;3;82;25744.78;2;4;4;10;Platinum;244;Less Recent;High Repurchaser;Top Spender;Less Recent, High Repurchaser, Top Spender
847-38-7188;B;Mandalay;Normal;Female;Food And Beverages;96.68;3;14.502;304.542;2019-01-26;19;E-Wallet;290.04;14.502;6.4;Mandalay_Normal_Female;9;290.04;3;77;24836.06;2;4;1;7;Silver;241;Less Recent;High Repurchaser;Low Spender;Less Recent, High Repurchaser, Low Spender
480-63-2856;C;Naypyitaw;Normal;Male;Food And Beverages;19.25;8;7.7;161.7;2019-01-23;18;E-Wallet;154.0;7.7;6.6;Naypyitaw_Normal_Male;5;154.0;1;77;25386.1;1;4;3;8;Gold;143;Most Recent;High Repurchaser;High Spender;Most Recent, High Repurchaser, High Spender
787-56-0757;C;Naypyitaw;Member;Female;Food And Beverages;80.36;4;16.072;337.512;2019-02-23;18;Credit Card;321.44;16.072;8.3;Naypyitaw_Member_Female;12;321.44;1;96;33003.28;1;4;4;9;Platinum;144;Most Recent;High Repurchaser;Top Spender;Most Recent, High Repurchaser, Top Spender
360-39-5055;C;Naypyitaw;Member;Male;Sports And Travel;48.91;5;12.2275;256.7775;2019-03-09;10;Cash;244.55;12.2275;6.6;Naypyitaw_Member_Male;10;244.54999999999998;1;73;21169.37;1;4;1;6;Bronze;141;Most Recent;High Repurchaser;Low Spender;Most Recent, High Repurchaser, Low Spender
730-50-9884;C;Naypyitaw;Normal;Female;Sports And Travel;83.06;7;29.071;610.491;2019-03-05;14;E-Wallet;581.42;29.071;4.0;Naypyitaw_Normal_Female;2;581.4200000000001;3;82;25744.78;2;4;4;10;Platinum;244;Less Recent;High Repurchaser;Top Spender;Less Recent, High Repurchaser, Top Spender
362-58-8315;C;Naypyitaw;Normal;Male;Fashion Accessories;76.52;5;19.13;401.73;2019-03-25;10;Cash;382.6;19.13;9.9;Naypyitaw_Normal_Male;5;382.59999999999997;1;77;25386.1;1;4;3;8;Gold;143;Most Recent;High Repurchaser;High Spender;Most Recent, High Repurchaser, High Spender
